KRI_ID,VALUE,DATE
1,0.68,1976-06-01 00:00:00
1,0.71,1976-06-02 00:00:00
1,0.7,1976-06-03 00:00:00
1,0.77,1976-06-04 00:00:00
1,0.79,1976-06-07 00:00:00
1,0.79,1976-06-08 00:00:00
1,0.82,1976-06-09 00:00:00
1,0.86,1976-06-10 00:00:00
1,0.83,1976-06-11 00:00:00
1,0.83,1976-06-14 00:00:00
1,0.83,1976-06-15 00:00:00
1,0.81,1976-06-16 00:00:00
1,0.79,1976-06-17 00:00:00
1,0.82,1976-06-18 00:00:00
1,0.85,1976-06-21 00:00:00
1,0.8,1976-06-22 00:00:00
1,0.8,1976-06-23 00:00:00
1,0.82,1976-06-24 00:00:00
1,0.81,1976-06-25 00:00:00
1,0.84,1976-06-28 00:00:00
1,0.84,1976-06-29 00:00:00
1,0.84,1976-06-30 00:00:00
1,0.86,1976-07-01 00:00:00
1,0.85,1976-07-02 00:00:00
1,,1976-07-05 00:00:00
1,0.86,1976-07-06 00:00:00
1,0.85,1976-07-07 00:00:00
1,0.9,1976-07-08 00:00:00
1,1.01,1976-07-09 00:00:00
1,1.04,1976-07-12 00:00:00
1,1.03,1976-07-13 00:00:00
1,1.03,1976-07-14 00:00:00
1,1.05,1976-07-15 00:00:00
1,0.98,1976-07-16 00:00:00
1,0.97,1976-07-19 00:00:00
1,0.96,1976-07-20 00:00:00
1,0.96,1976-07-21 00:00:00
1,0.95,1976-07-22 00:00:00
1,0.94,1976-07-23 00:00:00
1,1.01,1976-07-26 00:00:00
1,1.09,1976-07-27 00:00:00
1,1.06,1976-07-28 00:00:00
1,1.1,1976-07-29 00:00:00
1,1.12,1976-07-30 00:00:00
1,1.1,1976-08-02 00:00:00
1,1.1,1976-08-03 00:00:00
1,1.08,1976-08-04 00:00:00
1,1.08,1976-08-05 00:00:00
1,1.13,1976-08-06 00:00:00
1,1.16,1976-08-09 00:00:00
1,1.16,1976-08-10 00:00:00
1,1.16,1976-08-11 00:00:00
1,1.17,1976-08-12 00:00:00
1,1.18,1976-08-13 00:00:00
1,1.17,1976-08-16 00:00:00
1,1.18,1976-08-17 00:00:00
1,1.17,1976-08-18 00:00:00
1,1.15,1976-08-19 00:00:00
1,1.08,1976-08-20 00:00:00
1,1.11,1976-08-23 00:00:00
1,1.12,1976-08-24 00:00:00
1,1.16,1976-08-25 00:00:00
1,1.14,1976-08-26 00:00:00
1,1.12,1976-08-27 00:00:00
1,1.14,1976-08-30 00:00:00
1,1.16,1976-08-31 00:00:00
1,1.14,1976-09-01 00:00:00
1,1.13,1976-09-02 00:00:00
1,1.13,1976-09-03 00:00:00
1,,1976-09-06 00:00:00
1,1.18,1976-09-07 00:00:00
1,1.2,1976-09-08 00:00:00
1,1.17,1976-09-09 00:00:00
1,1.18,1976-09-10 00:00:00
1,1.17,1976-09-13 00:00:00
1,1.15,1976-09-14 00:00:00
1,1.17,1976-09-15 00:00:00
1,1.19,1976-09-16 00:00:00
1,1.23,1976-09-17 00:00:00
1,1.18,1976-09-20 00:00:00
1,1.21,1976-09-21 00:00:00
1,1.17,1976-09-22 00:00:00
1,1.19,1976-09-23 00:00:00
1,1.14,1976-09-24 00:00:00
1,1.19,1976-09-27 00:00:00
1,1.2,1976-09-28 00:00:00
1,1.2,1976-09-29 00:00:00
1,1.22,1976-09-30 00:00:00
1,1.25,1976-10-01 00:00:00
1,1.27,1976-10-04 00:00:00
1,1.28,1976-10-05 00:00:00
1,1.33,1976-10-06 00:00:00
1,1.34,1976-10-07 00:00:00
1,1.51,1976-10-08 00:00:00
1,,1976-10-11 00:00:00
1,1.55,1976-10-12 00:00:00
1,1.53,1976-10-13 00:00:00
1,1.53,1976-10-14 00:00:00
1,1.56,1976-10-15 00:00:00
1,1.54,1976-10-18 00:00:00
1,1.5,1976-10-19 00:00:00
1,1.43,1976-10-20 00:00:00
1,1.41,1976-10-21 00:00:00
1,1.41,1976-10-22 00:00:00
1,1.42,1976-10-25 00:00:00
1,1.43,1976-10-26 00:00:00
1,1.44,1976-10-27 00:00:00
1,1.42,1976-10-28 00:00:00
1,1.39,1976-10-29 00:00:00
1,1.35,1976-11-01 00:00:00
1,,1976-11-02 00:00:00
1,1.37,1976-11-03 00:00:00
1,1.43,1976-11-04 00:00:00
1,1.4,1976-11-05 00:00:00
1,1.42,1976-11-08 00:00:00
1,1.39,1976-11-09 00:00:00
1,1.42,1976-11-10 00:00:00
1,,1976-11-11 00:00:00
1,1.42,1976-11-12 00:00:00
1,1.41,1976-11-15 00:00:00
1,1.47,1976-11-16 00:00:00
1,1.5,1976-11-17 00:00:00
1,1.5,1976-11-18 00:00:00
1,1.57,1976-11-19 00:00:00
1,1.61,1976-11-22 00:00:00
1,1.57,1976-11-23 00:00:00
1,1.58,1976-11-24 00:00:00
1,,1976-11-25 00:00:00
1,1.58,1976-11-26 00:00:00
1,1.56,1976-11-29 00:00:00
1,1.59,1976-11-30 00:00:00
1,1.57,1976-12-01 00:00:00
1,1.58,1976-12-02 00:00:00
1,1.55,1976-12-03 00:00:00
1,1.5,1976-12-06 00:00:00
1,1.47,1976-12-07 00:00:00
1,1.48,1976-12-08 00:00:00
1,1.48,1976-12-09 00:00:00
1,1.51,1976-12-10 00:00:00
1,1.47,1976-12-13 00:00:00
1,1.5,1976-12-14 00:00:00
1,1.5,1976-12-15 00:00:00
1,1.48,1976-12-16 00:00:00
1,1.48,1976-12-17 00:00:00
1,1.5,1976-12-20 00:00:00
1,1.48,1976-12-21 00:00:00
1,1.52,1976-12-22 00:00:00
1,1.48,1976-12-23 00:00:00
1,,1976-12-24 00:00:00
1,1.47,1976-12-27 00:00:00
1,1.47,1976-12-28 00:00:00
1,1.45,1976-12-29 00:00:00
1,1.42,1976-12-30 00:00:00
1,1.47,1976-12-31 00:00:00
1,1.42,1977-01-03 00:00:00
1,1.4,1977-01-04 00:00:00
1,1.4,1977-01-05 00:00:00
1,1.36,1977-01-06 00:00:00
1,1.39,1977-01-07 00:00:00
1,1.41,1977-01-10 00:00:00
1,1.41,1977-01-11 00:00:00
1,1.42,1977-01-12 00:00:00
1,1.39,1977-01-13 00:00:00
1,1.32,1977-01-14 00:00:00
1,1.3,1977-01-17 00:00:00
1,1.3,1977-01-18 00:00:00
1,1.26,1977-01-19 00:00:00
1,1.25,1977-01-20 00:00:00
1,1.26,1977-01-21 00:00:00
1,1.25,1977-01-24 00:00:00
1,1.24,1977-01-25 00:00:00
1,1.24,1977-01-26 00:00:00
1,1.17,1977-01-27 00:00:00
1,1.18,1977-01-28 00:00:00
1,1.22,1977-01-31 00:00:00
1,1.21,1977-02-01 00:00:00
1,1.19,1977-02-02 00:00:00
1,1.26,1977-02-03 00:00:00
1,1.25,1977-02-04 00:00:00
1,1.3,1977-02-07 00:00:00
1,1.29,1977-02-08 00:00:00
1,1.33,1977-02-09 00:00:00
1,1.3,1977-02-10 00:00:00
1,1.34,1977-02-11 00:00:00
1,1.32,1977-02-14 00:00:00
1,1.32,1977-02-15 00:00:00
1,1.32,1977-02-16 00:00:00
1,1.27,1977-02-17 00:00:00
1,1.35,1977-02-18 00:00:00
1,,1977-02-21 00:00:00
1,1.33,1977-02-22 00:00:00
1,1.36,1977-02-23 00:00:00
1,1.3,1977-02-24 00:00:00
1,1.34,1977-02-25 00:00:00
1,1.37,1977-02-28 00:00:00
1,1.33,1977-03-01 00:00:00
1,1.33,1977-03-02 00:00:00
1,1.35,1977-03-03 00:00:00
1,1.38,1977-03-04 00:00:00
1,1.38,1977-03-07 00:00:00
1,1.38,1977-03-08 00:00:00
1,1.38,1977-03-09 00:00:00
1,1.38,1977-03-10 00:00:00
1,1.35,1977-03-11 00:00:00
1,1.39,1977-03-14 00:00:00
1,1.38,1977-03-15 00:00:00
1,1.36,1977-03-16 00:00:00
1,1.33,1977-03-17 00:00:00
1,1.36,1977-03-18 00:00:00
1,1.4,1977-03-21 00:00:00
1,1.39,1977-03-22 00:00:00
1,1.4,1977-03-23 00:00:00
1,1.39,1977-03-24 00:00:00
1,1.38,1977-03-25 00:00:00
1,1.36,1977-03-28 00:00:00
1,1.39,1977-03-29 00:00:00
1,1.39,1977-03-30 00:00:00
1,1.41,1977-03-31 00:00:00
1,1.41,1977-04-01 00:00:00
1,1.41,1977-04-04 00:00:00
1,1.46,1977-04-05 00:00:00
1,1.42,1977-04-06 00:00:00
1,1.41,1977-04-07 00:00:00
1,,1977-04-08 00:00:00
1,1.43,1977-04-11 00:00:00
